update_timestamp,title,news
2022-11-23 17:17:00,"Neu bei Sky und WOW im Dezember 2022: Jurassic World 3, Downton Abbey II, Spider-Man & mehr",Die neuen Serien sowie Film-Premieren bei WOW & Sky im Dezember findet ihr bei GIGA in der Übersicht.
2022-11-23 17:00:00,Zu gefährlich für Deutschland: Zoll beschlagnahmt Produkt von Elon Musk,"Wer an Elon Musk denkt, hat sofort Tesla im Kopf. Tatsächlich bietet der exzentrische Milliardär aber weit mehr als E-Autos an. Ein Produkt von seiner Boring Company war dem Zoll in Deutschland zu heiß – ganz buchstäblich."
2022-11-23 17:00:00,Das beste Laptop: Keiner schlägt das MacBook Air M1,"„Es gibt kein einziges Windows-Notebook unter 1.000 US-Dollar, das die Leistung, Mobilität und Batterielaufzeit des M1 MacBook Air übertrifft,“ schrieb kürzlich der 3D-Künstler Ian Zelbo bei Twitter. Mit dieser Aussage hat er Recht."
2022-11-23 16:40:00,ADAC richtet klare Worte an Autobauer: So kann es nicht weitergehen,"Geht es nach dem ADAC, haben die Autohersteller den falschen Weg eingeschlagen. Autos werden immer teurer, Luxus-Modelle kriegen Vorrang vor Pkw, die sich die Menschen leisten können – so kann es nicht weitergehen. Vor allem für den Umstieg auf Elektroautos muss der Wind sich drehen."
2022-11-23 16:37:00,Fußball-WM heute: Spanien - Costa Rica im Live-Stream und TV – Übertragung bei ARD,Am Mittwoch können Fußballfans wieder zu 4 Matches aus Katar einschalten. Anders als gestern werden auch alle Spiele im Free-TV gezeigt. Deutschland hat sein Spiel hinter sich gebracht. Die dritte Begegnung ist das Spiel zwischen Spanien und Costa Rica. Im Live-Stream und TV könnt ihr auch hier wieder bei ARD einschalten.
2022-11-23 16:30:00,God of War Ragnarök: Game Director hat schlechte Nachrichten,Die meisten Fans von God of War Ragnarök werden noch mit dem Spiel selbst beschäftigt sein. Doch was kommt danach? Ist ein DLC für das Erfolgs-Game geplant? Genau zu diesem Thema hat sich jetzt Eric Williams als Game Director geäußert – und wohl schlechte Nachrichten im Gepäck gehabt.
2022-11-23 15:50:00,Netflix hält Wort: 2. Staffel von Serien-Geheimtipp kommt noch im Dezember,"„Squid Game“ ist bis dato die erfolgreichste Serie bei Netflix. Von der hat der Streaming-Anbieter bereits eine zweite Staffel angekündigt, doch die braucht noch Zeit. Wesentlich früher kommt jetzt die zweite Staffel von „Alice in Borderland“ – ähnlich gut wie „Squid Game“, doch noch immer ein absoluter Geheimtipp."
2022-11-23 15:30:00,iCloud: Windows-Nutzer sehen Bilder und Videos fremder Personen,"In der neuen iCloud-App für Windows besteht ein umfangreiches Sicherheitsproblem. Nutzer berichten davon, dass sie plötzlich Fotos und Videos von Personen auf dem Bildschirm haben, die sie gar nicht kennen. Auch beim Import von eigenen Videos bereitet iCloud für Windows Probleme."
2022-11-23 14:45:00,iPhone 11 unter 400 Euro: Was für ein Black-Friday-Hammer,"Ein iPhone 11 kostete bei Apple zuletzt noch mindestens 579 Euro. Ein Preis von unter 400 Euro klingt besser. Den bietet jetzt o2. Es gibt allerdings einen kleinen Haken, denn Couch-Potatoes gehen leer aus."
2022-11-23 14:30:00,Windows 8.1 verschwindet: Microsoft zieht endgültig den Stecker,"Das Ende von Windows 8.1 rückt näher: Wie Microsoft gerade erklärt hat, wird der erweiterte Support für das neun Jahre alte Betriebssystem bald endgültig eingestellt. Aktualisierungen und Sicherheits-Patches gibt es schon länger nicht mehr. Microsoft empfiehlt den Umstieg auf ein aktuelles Windows."
2022-11-23 13:30:00,Neue Regeln bei Instagram und Facebook: Das ändert sich für Teenager,"Meta hat als Betreiber von Instagram und Facebook neue Regeln eingeführt, die minderjährige Nutzer betreffen. Sie sollen besser vor „potenziell verdächtigen Erwachsenen“ geschützt werden. Unter anderem stehen neue Privatsphäre-Einstellungen bereit und die Kontaktaufnahme wird erschwert."
2022-11-23 13:20:00,Neuer Schwung für E-Autos? Japanischer Hersteller bleibt wankelmütig,"Die Automobilbranche stellt sich auf das Ende des Verbrenners immer weiter ein. Jetzt geht auch eine der wenigen Marken einen elektrischeren Weg, die bisher noch sehr zögerlich in punkto E-Autos war: Mazda. Doch ein echtes Bekenntnis zum reinen E-Auto bleibt noch immer aus."
2022-11-23 12:46:00,Über 60 Sender kostenlos: ARD bringt neuen Service auf Fernseher,Die ARD erweitert ihr Programmangebot deutlich. Ein neuer Service bringt über 60 Sender auf den Smart-TV. Eine separate App ist dafür nicht nötig. Filme sucht man aber vergeblich.
2022-11-23 12:15:00,Dead or Alive & Ninja Gaiden: Das sagen die Entwickler zur Neuauflage,"Es gibt einige Spieleklassiker, die eine Neuauflage absolut verdient hätten. Dazu würden auch die Videospielreihen Dead or Alive und Ninja Gaiden gehören. Nach Gerüchten, diese Spiele würden ein Reboot erhalten, meldet sich nun Team Ninja zu Wort."
2022-11-23 11:48:00,Disney+ macht Traum wahr: Diese Kultserie schafft es endlich wieder ins TV,"Denny Crane ist zurück. Denny wer? Wenn ihr diese Frage nicht beantworten könnt, habt ihr die wahrscheinlich beste und bizarrste Anwaltsserie der Welt noch nicht gesehen. „Boston Legal“ lief einst im Fernsehen und kommt jetzt endlich wieder zurück – Disney+ macht es möglich."
2022-11-23 11:32:00,KN-Logo? Hinter dem verwirrenden Auto-Symbol steckt ein alter Bekannter,"Ikonische Automarken erkennt man oft schon aus der Ferne, doch vor allem kommt es auf das Markenzeichen an: Ob Mercedes-Stern, BMWs vermeintlicher Propeller oder die Ringe von Audi – sie alle sind unverkennbar. Ganz anders als dieses verwirrende „KN“, das man jetzt überall sieht. Dabei sind die Autos mit dem ungewohnten Zeichen alte Bekannte."
2022-11-23 11:21:00,"Xbox Store: Microsoft blockiert Trick, um Geld zu sparen","Die Funktion „Als Geschenk kaufen“ wird gerne mal genutzt, um anderen eine Freude zu machen. Diese ist in den Xbox Stores jetzt allerdings gesperrt. Zumindest in einigen Ländern – und das aus einem speziellen Grund."
2022-11-23 11:13:00,Bald in Xiaomi-Handys: Neue Technologie sorgt für besseres Design,Xiaomi ist bekannt für seine Experimentierfreudigkeit. Doch eins konnte der Smartphone-Hersteller bisher nicht loswerden – die Frontkamera im Display. Mit einer neuen Idee könnte das jetzt aber passieren. Ganz so neu ist die Überlegung aber nicht. Andere Hersteller hatten sie nämlich schon vorher. Und auch Xiaomi hat sie schon in seinen Redmi-Handys eingesetzt.
2022-11-23 10:55:00,ID. Golf: VW-Chef will Kultauto elektrisch weiterführen,Was passiert mit dem VW Golf in einer rein elektrischen Zukunft? Die Frage stellen sich Fans ebenso drängend wie Volkswagen selbst. Markenchef Thomas Schäfer kann sich die Zukunft mit einem ID. Golf vorstellen. Offiziell hält VW aber noch den Ball flach.
2022-11-23 09:30:00,Motorola legt vor: Neues High-End-Handy lässt die Muskeln spielen,"Motorola entwickelt sich langsam, aber sicher zu einem der interessantesten Smartphone-Hersteller und könnte eine echte Alternative zu Samsung und Xiaomi werden. Mit dem Moto X40 lässt Motorola die Muskeln spielen und gibt auch einen guten Ausblick darauf, was uns bei anderen Herstellern erwartet."
2022-11-23 09:10:00,Schnellstes 5G-Handy: iPhone vs. Android – in Deutschland eine klare Sache,"Wer im 5G-Netz surft, ist schnell unterwegs. Fragt sich nur, wie temporeich und mit welchem Handy ihr am besten bedient sein. Muss es ein iPhone sein, wie schlagen sich die Androiden? Eine Antwort darauf gibt aktuell die Auswertung der Nutzerdaten des bekannten Speedtests von Ookla."
